ReportingCounty,count
11005112,1024
11009162,1013
11005315,814
11009473,753
11003457,593
11002000,537
11009463,439
11005382,402
11005374,390
11011002,349
11009771,345
11008317,339
11011012,335
11011008,327
11005313,321
11005366,319
11005962,319
11008335,316
11011001,309
11003402,306
11011003,291
11005170,281
11005113,266
11011007,242
11008111,242
11005378,234
11009271,228
11014612,214
11003454,208
11005958,204
11009184,200
11006412,200
11009277,199
11005111,192
11005116,190
11011006,180
11009276,180
11009179,172
11009761,171
11005362,167
11001054,164
11014713,163
11009187,162
11009174,159
11005913,159
11011004,150
11005158,149
11009173,147
11011005,146
11003361,144
11011011,143
11016051,136
11009188,132
11006440,131
11009181,130
11009564,128
11015002,126
11011009,126
11011010,119
11003241,118
11005354,116
11009178,114
11006413,114
11003156,113
11008311,113
11009679,113
11009190,111
11003354,111
11008116,111
11009180,103
11005162,102
11005117,101
11003452,101
11008336,96
11005954,95
11008118,95
11007339,94
11005166,93
11003459,90
11009275,89
11005974,87
11009279,87
11009183,87
11005114,86
11005774,85
11007233,85
11009772,83
11005119,81
11005914,80
11008436,79
11005314,79
11008215,77
11009175,74
11009676,73
11005554,73
11008235,72
11005513,71
11007132,70
11009172,70
11009177,70
11008315,69
11003353,69
11005124,69
11008337,68
11009471,66
11004011,66
11003254,64
11006531,64
11007334,63
11005316,63
11012067,63
11009461,63
11005358,61
11003357,60
11007138,60
11008127,60
11009663,59
11009675,59
11006438,59
11008416,58
11005915,57
11006534,57
11008327,57
11005978,56
11001060,56
11009189,55
11008437,53
11009780,53
11008212,50
11005154,50
11006435,50
11010041,50
11001002,49
11005711,48
11016055,48
11001059,48
11008226,47
11001056,47
11012054,47
11007133,47
11012069,47
11001058,47
11005570,46
11009778,46
11009563,46
11009185,46
11001062,44
11009474,44
11009573,44
11015081,44
11006414,44
11006533,43
11007137,43
11009677,43
11014511,42
11008435,41
11003153,41
11014522,40
11005370,40
11009182,40
11008125,40
11012065,40
11005562,39
11005911,39
11009574,38
11003453,37
11008222,36
11005754,36
11006436,35
11006532,35
11006434,35
11008426,35
11008216,35
11008117,34
11009274,34
11008128,34
11009478,34
11008115,33
11016061,33
11006437,33
11009372,32
11008119,32
11005970,32
11014523,32
11007231,31
11009186,31
11009777,31
11005566,30
11006432,30
11007135,30
11007111,30
11003458,29
11008225,28
11008221,27
11009779,27
11008326,26
11007332,26
11006411,26
11008236,26
11007141,25
11001057,25
11003157,25
11014625,24
11012060,24
11006611,24
11007140,24
11005558,24
11007313,24
11009678,24
11007211,23
11008415,23
11006433,23
11003355,23
11003403,23
11005766,23
11006635,23
11009671,23
11009261,23
11016053,22
11003155,22
11003461,22
11007337,22
11001004,22
11007143,22
11003101,22
11009674,22
11003451,21
11005122,21
11009278,21
11012072,20
11009176,20
11005334,20
11003152,20
11001001,20
11008231,20
11009476,20
11009576,20
11007333,20
11003256,20
11001003,20
11005770,19
11006631,19
11009171,19
11012063,19
11003358,19
11003401,19
11015084,19
11003359,19
11009571,19
11014524,18
11001053,18
11008316,18
11006439,18
11006431,18
11008136,18
11005120,17
11009672,17
11016054,17
11006634,17
11008417,17
11008425,17
11005512,17
11005515,17
11012061,17
11009776,17
11008211,17
11003255,16
11007338,15
11009376,15
11007331,15
11015088,15
11014628,15
11016069,15
11016071,14
11007314,14
11007335,14
11008325,14
11003356,14
11001061,14
11015091,14
11009775,14
11010044,14
11012068,13
11004012,13
11001051,13
11009673,13
11012064,13
11008135,13
11005916,13
11001055,13
11007131,13
11008121,13
11014627,12
11003257,12
11009273,12
11003251,12
11009362,12
11007312,12
11003460,12
11005966,11
11009572,11
11003352,11
11009774,11
11007235,11
11008421,11
11009163,11
11007336,11
11016067,11
11003455,10
11009562,10
11009762,10
11010042,10
11007315,10
11009272,10
11014729,9
11003456,9
11009763,9
11003404,9
11015003,9
11009375,9
11009373,9
11005762,8
11006633,8
11009477,8
11008237,8
11006632,8
11003159,8
11007319,8
11009565,8
11016072,7
11009462,7
11012052,7
11013076,7
11005758,7
11003103,7
11006636,7
11016076,7
11009773,7
11009371,7
11010045,6
11006535,6
11016074,6
11009661,6
11016064,6
11003462,6
11016052,6
11003102,6
11013075,6
11003351,6
11015086,6
11016068,6
11009161,5
11007316,5
11013003,5
11014521,5
11007134,5
11003151,5
11012073,5
11014626,5
11016075,5
11003252,5
11016065,5
11003360,5
11009575,5
11009472,5
11009561,5
11015083,4
11007340,4
11015085,4
11012071,4
11009263,4
11010043,4
11016070,4
11013071,4
11009764,4
11016066,4
-1,3
11013054,3
11012053,3
11009361,3
11009662,3
11009577,3
11013056,3
11009464,3
11016063,3
11013055,3
11013059,3
11015089,3
11013058,3
11009475,3
11010046,2
11013005,2
11016077,2
11012051,2
11013004,2
11009374,2
11003154,2
11003405,2
11009377,2
11013002,2
11007311,2
11016056,2
11015001,2
11009262,2
11009363,1
11013052,1
11013060,1
11008126,1
11013057,1
11016073,1
11013006,1
11013072,1
11014730,1
11015090,1
11003158,1
11015082,1
11013062,1
11015087,1
11012070,1
11012066,1
